id;brand;card_type;card_number;expiration_date;cvv;last_four_digits;bank
1;Myanmar Forward feed;invoice Computers application;34015;2021-07-14T05:42:26;56677;81326;synthesize International Senior
2;Ridge;generating Manager innovate;40354;2021-07-13T10:30:50;24080;2082;human-resource Sausages Associate
3;Borders Industrial;Toys;24688;2021-07-13T22:15:00;77410;29921;discrete SDD Multi-lateral
4;Sports;up violet;6404;2021-07-13T08:16:26;70449;11622;dot-com mindshare
5;even-keeled deliverables;Account quantify;78094;2021-07-13T15:14:05;9264;68043;invoice
6;primary;Metal bifurcated;58269;2021-07-13T18:52:52;56257;77978;motivating technologies value-added
7;Concrete;Plastic;39262;2021-07-13T13:24:51;5780;54286;convergence SMTP
8;interactive bluetooth;Money;68636;2021-07-14T04:06:52;36760;68990;Buckinghamshire Dollar
9;Supervisor;Shirt;24265;2021-07-13T20:28:16;62306;19776;Bedfordshire
10;solutions;Kansas;28405;2021-07-14T01:36:02;96343;16893;Steel navigating
